center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type
639797,PANCHOLA (PANCHAYAT BHAWN),PANCHOLA,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
623812,MURKHEDA SHC,MURKHEDA SHC,Madhya Pradesh,Indore,DEPALPUR,453115,22,75,09:00:00,17:00:00,Free
726631,Drive In Dusshera Maidan,Dusshera Maidan Annapura Road,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
654826,NAGAR NIGAM ZONE 10,SAKET NAGAR Overhead Water Tank PWD Colony Old Palasia Indore,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,17:00:00,Free
618467,NAGAR NIGAM ZONE 07,NAGAR NIGAM ZONE SCHEME NO 54 VIJAY NAGAR INDORE,Madhya Pradesh,Indore,INDORE,452010,22,75,09:00:00,17:00:00,Free
678022,Murai Mourya Samaj Dharamshala,Smt. Jamunabai Hazarilal Murai Mourya Samaj Dharamshala,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
732408,DRIVE IN GOUTAMPURA,GOUTAMPURA DEPALPUR,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
639408,MURADPURA (PANCHAYAT BHAWN),MURADPURA,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
732379,SAMUDAYIK BHAWAN KALIBILLOD,JIVAN JYOTI COLONY SAMUDAYIK BHAWAN KALIBILLOD,Madhya Pradesh,Indore,DEPALPUR,452001,22,75,09:00:00,17:00:00,Free
618570,NAGAR NIGAM MUKHYALAYA (18-44),Narayan Sing Saput Marg Square Shivaji Market Nagar Nigam Indore Madhya Pradesh 452007,Madhya Pradesh,Indore,INDORE,452007,22,75,09:00:00,16:00:00,Free
726195,DRIVE IN SANWER MANDI 2,MANDI PARISAR,Madhya Pradesh,Indore,Sawer,452001,22,75,09:00:00,17:00:00,Free
723841,Kankeshwari Devi Drive In,Kankeshwari Devi (nandanagar Zone) Madan Mahal Garden Ke Paas Ground,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:30:00,Free
726627,SHC GANGLIYAKHEDI,SHC GANGLIYAKHEDI,Madhya Pradesh,Indore,MHOW,452001,22,75,09:00:00,18:00:00,Free
577402,Shakuntala Devi Hospital,Shakuntala Hospital 442443 Goyal Nagar Indore,Madhya Pradesh,Indore,INDORE,452016,22,75,09:00:00,17:00:00,Paid
726632,Drive In Carmel School,Near Emrald School Tejaji Nagar,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,17:00:00,Free
717340,Gurudwara Shankarbag,Gurudwara Shankarbag,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,16:00:00,Free
639779,GURAN (PANCHAYAT BHAWN),GURAN,Madhya Pradesh,Indore,Sawer,453551,22,75,09:00:00,17:00:00,Free
646383,NAGAR NIGAM ZONE 05,SUKHLIYA NAGAR RAIN BASERA SEC A INDORE,Madhya Pradesh,Indore,INDORE,452010,22,75,09:00:00,17:00:00,Free
673781,Child Care Hospital,E-103 104 Bakhtawar Ram Nagar Indore,Madhya Pradesh,Indore,INDORE,452001,22,75,09:00:00,18:00:00,Paid
