session_id,date,available_capacity,min_age_limit,vaccine,slots,available_capacity_dose1,available_capacity_dose2
64fc9122-bb31-4858-a963-a6dd017b8854,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
bdc0f0bb-8ea6-4b6d-83a3-2d9d9a93f1b2,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
b8a605b7-3ed7-4c2d-9212-f7c8b6b41927,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
22192cb5-72c1-4124-8a68-2603cf53b94e,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
44ab0be4-cdc6-4c8b-990d-53d46738cc77,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
7f39316e-4d43-4f19-b97b-d2133c43d4b3,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
99d53fb3-36fe-47fb-9940-9740b6e3afa9,10-06-2021,0,18,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
fc233e75-7a13-41af-9ae3-ec240d784186,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
0bfbd9a6-487e-4208-907a-a82dc2fad5f8,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
ab7d975e-f88c-47ca-9a8d-47ece0d354cd,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
0898c5ad-49de-40d0-8062-283245833928,10-06-2021,0,45,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
91c0c11c-5e5c-42f1-9f98-19845541b7f2,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
abbee022-4c7d-41db-b79d-b84c985fa0da,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
dbda8f9c-bd22-4091-b046-06ae80d95b90,10-06-2021,78,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",78,0
7295bf02-8e3e-45f6-b54f-68d27483e0cf,10-06-2021,0,18,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
697a0305-746a-49b0-9195-4f6ae099e9fe,10-06-2021,0,18,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
5f213c68-3a96-4332-826e-cc978fbe172f,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,0
c91f4add-2a74-4f73-9e78-bbc8b0f219a7,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
320d3fb8-22b2-4c0d-8ff8-9c8e61a93e3a,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
1b00bb60-8b2b-4310-b957-cc021671e9ea,10-06-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
fa817e4f-5583-4d59-97d5-4ffeda8e88ff,10-06-2021,1,18,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,1
80481e23-4c18-49c4-ac37-b7a9cfd44bbf,10-06-2021,0,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
9528fc88-b0f1-41da-852b-451d7abf6f70,10-06-2021,0,45,COVISHIELD,"['09:00AM-10:00AM', '10:00AM-11:00AM', '11:00AM-12:00PM', '12:00PM-04:30PM']",0,0
